Month,Price
2016-01,2.28
2016-02,1.99
2016-03,1.73
2016-04,1.92
2016-05,1.92
2016-06,2.59
2016-07,2.82
2016-08,2.82
2016-09,2.99
2016-10,2.98
2016-11,2.55
2016-12,3.59
2017-01,3.3
2017-02,2.85
2017-03,2.88
2017-04,3.1
2017-05,3.15
2017-06,2.98
2017-07,2.98
2017-08,2.9
2017-09,2.98
2017-10,2.88
2017-11,3.01
2017-12,2.82
2018-01,3.87
2018-02,2.67
2018-03,2.69
2018-04,2.8
2018-05,2.8
2018-06,2.97
2018-07,2.83
2018-08,2.96
2018-09,3
2018-10,3.28
2018-11,4.09
2018-12,4.04
2019-01,3.11
2019-02,2.69
2019-03,2.95
2019-04,2.65
2019-05,2.64
2019-06,2.4
2019-07,2.37
2019-08,2.22
2019-09,2.56
2019-10,2.33
2019-11,2.65
2019-12,2.22
2020-01,2.02
2020-02,1.91
2020-03,1.79
2020-04,1.74
2020-05,1.75
2020-06,1.63
2020-07,1.77
2020-08,2.3
2020-09,1.92
2020-10,2.39
2020-11,2.61
2020-12,2.59
